goodsNo,name,brand,supply_price,url,price_candidates
1000000047,텐제로 마일드 페미닌 워시 150ml,,9500,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000000047,set_goods_price=9500 | fixed=25000 | coupon=9500
1000000102,맥클린 헤드스파 힐링케어 트리트먼트 200ml,,5010,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000000102,set_goods_price=5010 | fixed=15600 | coupon=5010
1000000107,맥클린 헤드스파 워터제로 에센스 140ml,,4800,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000000107,set_goods_price=4800 | fixed=12000 | coupon=4800
1000000132,O21 인컨보 바디 퍼퓸 샤워젤 200ml,,17500,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000000132,set_goods_price=17500 | fixed=32000 | coupon=17500
1000000377,텐제로 헤어 탈모 증상 완화 아쿠아 쿨링 샴푸 500ml,,11000,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000000377,set_goods_price=11000 | fixed=25000 | coupon=11000
1000000409,텐제로 헤어 프로텍팅 샴푸 극손상모용 500 ml,,8000,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000000409,set_goods_price=8000 | fixed=20000 | coupon=8000
1000000410,텐제로 헤어 엔젤링 샴푸 일반모용 500ml,,8000,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000000410,set_goods_price=8000 | fixed=20000 | coupon=8000
1000000411,텐제로 헤어 볼류밍 샴푸 지성모용 500ml,,8000,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000000411,set_goods_price=8000 | fixed=20000 | coupon=8000
1000000412,텐제로 헤어 프로텍팅 트리트먼트 극손상모용 180ml,,8000,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000000412,set_goods_price=8000 | fixed=20000 | coupon=8000
1000000413,텐제로 헤어 리페어 트리트먼트 일반지성모용 180ml,,8000,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000000413,set_goods_price=8000 | fixed=20000 | coupon=8000
1000000417,텐제로 헤어 프로텍팅 플로럴 에센스 오일 극손상모 100ml,,7600,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000000417,set_goods_price=7600 | fixed=18000 | coupon=7600
1000000418,텐제로 헤어 엔젤링 머스크 에센스 일반모 100ml,,2000,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000000418,set_goods_price=2000 | fixed=18000 | coupon=2000
1000000419,텐제로 헤어 볼류밍 워터리 에센스 라이트 지성모 100ml,,2000,https://m.cmtstory.com/goods/goods_view.php?goodsNo=1000000419,set_goods_price=2000 | fixed=18000 | coupon=2000
